,MEL.IPI_Pat02.Tumor.SM.4DJZX,MEL.IPI_Pat03.Tumor.SM.4DJZY,MEL.IPI_Pat04.Tumor.SM.4DJZZ,MEL.IPI_Pat06.Tumor.SM.4DK12,MEL.IPI_Pat08.Tumor.SM.4DK14,MEL.IPI_Pat118.Tumor.SM.5X2QV,MEL.IPI_Pat119.Tumor.SM.7459N,MEL.IPI_Pat123.Tumor.SM.5X2R1,MEL.IPI_Pat126.Tumor.SM.5X2R4,MEL.IPI_Pat14.Tumor.SM.53U3C,MEL.IPI_Pat15.Tumor.SM.4DK1B,MEL.IPI_Pat16.Tumor.SM.53U3E,MEL.IPI_Pat19.Tumor.SM.4DK1F,MEL.IPI_Pat20.Tumor.SM.53U3I,MEL.IPI_Pat25.Tumor.SM.4DK1L,MEL.IPI_Pat27.Tumor.SM.4DK1N,MEL.IPI_Pat28.Tumor.SM.4DK1O,MEL.IPI_Pat29.Tumor.SM.4DK1P,MEL.IPI_Pat33.Tumor.SM.4DK1T,MEL.IPI_Pat36.Tumor.SM.53U3X,MEL.IPI_Pat37.Tumor.SM.53U3Y,MEL.IPI_Pat38.Tumor.SM.53U3Z,MEL.IPI_Pat39.Tumor.SM.4DK1Z,MEL.IPI_Pat40.Tumor.SM.4DK21,MEL.IPI_Pat41.Tumor.SM.4DK22,MEL.IPI_Pat43.Tumor.SM.4DK24,MEL.IPI_Pat44.Tumor.SM.4DK25,MEL.IPI_Pat45.Tumor.SM.4DK26,MEL.IPI_Pat46.Tumor.SM.53U48,MEL.IPI_Pat47.Tumor.SM.4DK28,MEL.IPI_Pat49.Tumor.SM.4DK2A,MEL.IPI_Pat50.Tumor.SM.53U69,MEL.IPI_Pat79.Tumor.SM.53U2S,MEL.IPI_Pat80.Tumor.SM.4DK36,MEL.IPI_Pat81.Tumor.SM.4DK37,MEL.IPI_Pat83.Tumor.SM.53U2W,MEL.IPI_Pat85.Tumor.SM.53U2Y,MEL.IPI_Pat86.Tumor.SM.4DK3C,MEL.IPI_Pat88.Tumor.SM.4DK3E,MEL.IPI_Pat90.Tumor.SM.4DK3G,MEL.IPI_Pat91.Tumor.SM.4DK3H,MEL.IPI_Pat98.Tumor.SM.4CU6L
EIF4G1,108.2843704,132.6986237,178.8588715,111.6150131,117.1950073,107.7951508,84.7575531,110.6869354,133.2065735,154.8658447,197.3414764,81.6733551,144.1887665,110.3898087,89.49050903,84.97115326,138.7855682,139.5676727,203.1565857,177.2400513,162.5137939,160.7760773,73.84964752,92.33335114,146.1650696,80.45714569,130.4470673,106.9720383,84.25192261,162.4490662,91.43580627,68.75022888,158.9483948,130.7642212,130.8611603,76.27887726,107.6680527,86.51592255,131.3355255,125.1606445,104.9755325,176.1769104
EMP2,4.019044876,14.88890648,0.498214543,1.592267752,1.463483095,0.887610734,0.419279814,1.79840827,0.606509686,4.178762913,0.226892367,2.967244387,3.005965233,4.852509022,2.534099817,4.696547508,2.894850969,3.896842003,1.491895199,0.196591556,2.964637041,2.514066696,3.441074848,3.98593545,3.389321566,4.288233757,1.161578655,1.605407834,3.445070744,0.604254961,2.646779537,2.26305604,1.384751797,3.660443783,3.44299221,1.492378473,3.317304373,5.033181191,2.363984823,2.38312006,6.003290176,1.995488524
ENO1,214.2509003,128.1111755,251.1138763,123.1323929,351.1669617,74.49176788,130.1100922,101.0809174,232.7249756,438.596405,616.652832,103.459877,207.0218811,207.3179474,134.9799194,235.4975128,334.671051,175.8405304,237.6287994,177.9855804,496.682373,184.8699646,67.23011017,170.675766,99.17736053,76.30843353,151.641571,307.315979,206.1516876,214.8681641,144.092514,176.9453735,199.7937469,635.1016846,159.2515869,90.21189117,186.0063782,199.255188,144.4077148,99.17263794,117.3582993,281.5088196
EPHA2,5.182085037,20.26547623,4.543255806,29.00914955,10.82235813,18.00251198,9.892388344,2.444665432,2.346101046,18.42232895,71.76270294,2.822554588,5.868134975,10.99729919,46.52029419,5.16561079,2.701574802,31.25369453,28.4721508,57.51544571,22.33626366,15.54976368,5.839158535,17.01220703,15.82831192,5.390053749,0.39763698,5.090621471,21.22419739,13.21068478,7.614182472,6.859579086,2.938778162,54.03339767,9.433202744,4.035989761,23.64195061,9.795202255,7.306020737,8.368847847,20.59187508,8.691490173
EPHB2,6.881218433,2.051324844,1.023558974,4.600819111,1.31520772,2.177450419,0.258437485,0.249277636,1.484490156,9.471812248,0.082586579,0.379003435,5.820628166,0.678904176,3.976818323,3.141842604,1.521434069,2.012569428,0.566935182,0.314642012,6.804406643,3.670136452,3.052521467,1.357604742,1.431949616,5.499942303,0.509667099,0.073420592,4.888633251,1.830529571,3.782536745,0.600815594,0.561965883,2.52943778,1.223340631,1.252794385,9.471731186,0.915757895,1.263094902,1.01113987,2.887382746,3.05223918
EPHB3,1.874031305,8.419821739,9.613302231,1.743124723,0.964778304,1.25970757,0.509839416,0.078215152,1.048646689,0.806578815,6.618429184,0.081828177,2.455457926,3.064885616,2.582638264,1.352297068,0.664495349,0.783539116,0.161527991,5.300914764,12.33833981,2.44791007,1.436185241,2.42437315,5.35882473,4.797103882,0.160931915,5.102757931,4.944245815,0.351014376,0.977616727,0.582654536,0.524241149,0.568940043,0.45342052,0.628401399,1.127151966,2.17908001,0.629605591,7.490808964,1.369881868,1.360086799
EPHB4,11.29551888,15.46164417,12.95258808,6.465660572,6.3054986,3.983173609,4.397494316,10.27941227,4.727780819,55.52006531,24.9797821,8.598852158,8.171790123,6.465725899,10.54098988,9.390487671,9.198358536,7.354589462,2.307356834,17.20524979,11.22351646,6.255291462,6.452369213,9.876948357,7.749468803,5.042618275,31.34505081,15.09600067,16.22507858,13.19399261,5.63056612,10.34368134,4.873255253,10.05524921,6.744652271,3.730904102,5.201445103,17.73241425,4.34749794,13.13193607,11.82297039,10.39037991
ERLIN1,4.25056839,8.265625,18.92128181,10.19735527,8.424863815,6.380535126,11.16680908,11.17733574,11.14997387,9.566533089,6.773589611,9.100196838,9.773783684,6.643562794,6.25630188,7.043469906,7.272771359,15.87834358,9.749526978,10.99907303,20.6727047,7.714631558,6.9287076,7.982638359,7.640519142,11.22098732,13.5547781,9.230460167,9.701893807,13.66606426,9.131263733,4.698998928,10.82939053,11.40204048,4.10940218,9.412890434,7.726465702,6.335627556,11.69764042,11.1353693,14.39608955,14.24363613
EVI2A,1.620310307,2.065966845,1.012009978,5.068323612,2.354317427,7.307771683,3.966883898,2.493931532,2.965924263,1.776308179,0.448482007,1.587477207,2.939620018,2.701754332,2.079424381,3.847162962,1.551739335,2.334474087,1.112126946,1.409482956,1.996271372,3.610549927,5.765283108,5.331343174,0,10.54805279,1.403145075,0.977010727,3.120514631,2.106020212,4.343459606,6.57871294,1.584235668,2.561670065,1.524609447,1.941640735,8.424821854,1.910990596,2.568604946,2.840873003,2.269411087,1.354954481
EVI2B,19.86227798,12.12513638,8.549928665,42.08876419,17.41179276,61.68351746,29.27952385,15.07216167,24.18806076,13.42093658,1.84394896,8.338731766,25.71647644,17.92457581,11.45623493,27.028162,15.75253296,24.92949486,6.382520676,7.174118042,11.21003914,35.17198944,55.77707672,29.28584671,9.922284126,52.16295624,6.014742851,5.781949043,19.64491844,9.807197571,50.72480392,27.96968079,8.444275856,14.71683884,7.260137081,17.56708908,59.24197769,9.954989433,36.34841919,13.50440693,18.09200096,15.98169422
EXOSC8,2.923615694,7.603102207,9.976978302,8.099474907,8.410693169,13.23002148,9.243944168,14.37559032,13.39515018,14.94125938,7.645375252,11.72540951,8.118676186,6.722786903,7.150580883,10.19066143,9.215890884,10.08486462,7.498558044,13.97479153,13.35187626,11.68422794,7.028943062,5.922629833,3.882551193,7.301796913,14.13566589,10.31375694,9.339960098,7.793533802,9.91617775,9.085078239,7.655303001,14.91877079,7.385112286,8.558196068,6.80201292,8.083063126,11.29334641,8.479621887,14.630826,8.02145195
EZR,35.87475204,84.53206635,72.7545166,36.78643036,66.88031769,14.23005676,15.92439556,1.605614424,17.01823044,41.17357636,25.08858871,16.18133545,30.51686668,16.07703018,12.70101547,63.99559402,20.92959023,52.15261078,18.57997131,6.292684555,44.67267609,51.30190277,20.32806396,10.42872715,14.97001171,19.09091949,0.503303587,54.90545273,12.88951588,9.324017525,50.03956604,55.00656509,19.59349632,43.81295013,92.55678558,49.51259613,60.88514328,14.40447521,38.70837402,28.20499992,40.17739487,64.75292969
F3,9.019859314,8.694849968,3.307396889,1.635558963,1.078641892,4.169134617,0.403907806,0.086431138,1.147847414,7.748582363,0.429353803,0.329544157,4.005743504,0.763479769,0.581868708,2.140575171,0.227499783,1.26632607,2.05883646,0.65948087,2.580247879,1.738715887,8.641309738,3.79673624,0,6.618284226,0.201987445,0.755691528,0.96675837,0.67567265,50.28213882,0.849673212,0.5568555,1.459748268,0.916648507,0.671717703,1.357681871,0.944305182,2.122406721,0.910259247,2.192369461,1.132249832
FAM167A,0.090647668,0.603140473,0.086664401,0.089215085,0.017604357,0.010602268,0.004312602,0,0.003336818,0.057192754,0,0.009182706,0.017044324,0.006761589,0.005275886,0.151082426,0.104427874,0.076681614,0.030210944,0.004924381,0.004627676,0.062196881,0,0.089057386,0,0,0,0.008809665,0.155926943,0.009529986,0.08395984,0.005029624,0.006840698,0.090815544,0.029582882,0.097481862,0.170805305,0.005993504,0.080387987,0.307647288,0.198785231,0.322034389
FAM89B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FARSA,26.56128311,17.6399498,41.36313248,20.07219696,29.90880013,8.041618347,12.41057301,17.11280441,15.63410854,31.25101852,26.50504494,17.69597816,27.20970917,20.85390472,24.38492393,23.12791252,45.83627319,29.43658066,36.09923172,35.58495712,13.04703236,32.2613411,14.62007809,26.32353783,34.3011055,12.60698795,32.98783112,41.70693588,24.66996956,41.29909515,25.3906765,22.02176285,36.99330902,27.33522797,26.33106613,27.91957474,30.48148155,26.77109528,19.75351143,31.89447975,23.60384178,38.5892334
FARSB,3.943612814,11.91032791,16.37367821,16.48121834,7.037961483,20.27694893,28.89295959,16.07158279,17.7810936,13.28903198,17.23569679,19.7993927,12.03328896,23.72449303,10.02049351,12.79969883,10.613554,11.53276253,12.25130081,17.02166557,27.97444344,13.58239269,8.059869766,18.40022659,15.22600174,8.759185791,23.06892204,21.65876389,11.46235466,14.26063728,11.5371809,20.30147934,13.17829514,21.69708061,15.8703804,13.84541225,10.15350151,18.47833824,21.60688782,15.34975815,17.73973656,19.95558357
FBXO41,2.343450069,0.449544281,1.851396084,1.584488034,0.416261882,0.285792023,0.318156242,0.204947308,0.029456137,0.984663963,0.958342671,0.312665254,0.720061839,0.089533031,0.7451756,1.280349255,0.962819755,4.138855457,0.130623922,0.863200545,0.093374454,0.712049127,1.284809351,1.177594423,1.421948195,0.304269522,2.234780312,2.091411829,0.798839927,2.373583555,1.362684608,0.932391048,1.453602195,2.04715848,1.481072187,0.728444397,2.050670385,1.574022651,0.944454551,1.010908127,0.495104015,1.162030816
FCER1G,100.5787659,14.39053822,39.41926575,42.33494186,18.60059929,50.62811279,10.6275034,19.26108933,27.45608711,18.00692558,140.1360321,10.45146179,98.06438446,17.29795456,13.29512978,70.28684998,54.4728508,14.83968544,12.17900562,14.6032629,21.03204918,118.5152359,25.12757683,31.74066734,25.90246964,61.91504669,1.584574819,2.046771288,55.10354614,19.87737083,49.97195435,10.20179176,5.732253075,113.0617447,15.66131878,17.1526432,97.99793243,24.68923759,37.77318192,14.69345093,40.06095886,27.86198998
FCGR1A,21.95605469,2.563651323,19.4299221,16.57720184,11.80425835,19.54619598,3.771711111,2.706088781,9.084933281,5.001366139,0.301088542,5.525416851,25.35545158,9.023391724,5.221859455,23.28238487,42.91396713,2.801953077,3.172885895,0.674764991,6.660899639,40.49599838,7.28362751,9.107083321,12.89771652,32.06603241,0.101615362,0.272920251,25.56171799,8.425566673,38.62352371,4.950152874,3.855356932,18.95132446,7.684224606,7.023491859,89.58674622,12.2118063,21.27583504,7.465623379,12.41133308,11.82090664
FCGR2A,43.43885803,15.29892731,19.35688972,34.20043945,18.71780968,47.09749603,22.38158989,15.82382011,16.68414879,9.93393898,34.5975914,21.82773209,33.33527374,8.454950333,4.85603857,23.58999252,7.302147865,4.744734764,5.713862896,4.339694023,36.32638931,41.77484512,17.00625038,46.54860306,12.00504971,49.56504822,9.982680321,13.08557415,34.503685,17.63511276,15.24321938,11.04763412,17.14732552,18.95122147,9.668134689,6.238350868,39.95320892,46.91609955,30.0490818,7.760021687,19.21298218,12.58980179
FCGR2B,81.6437912,37.52599716,2.850953341,34.56296158,40.35884476,20.64735603,10.29333591,1.376085043,11.90959358,14.16030121,3.646432638,35.63641739,107.7356262,3.215481281,2.316229105,36.06649399,2.613111973,5.478899002,2.377841473,1.460527539,4.866656303,11.57629871,40.18849564,63.40850449,24.48659515,42.53995132,1.669442654,9.477182388,36.50733185,11.4689188,9.14358139,6.715365887,4.133433819,13.15212154,15.947896,3.011128426,88.98220062,241.6056366,29.90067673,3.68989706,7.541285515,11.0299902
FCGR3A,58.56451416,7.109382153,41.04316711,33.24340057,20.6947155,29.6374073,6.418241501,10.37887001,15.40197086,11.07837772,0.882274032,11.24554825,53.64109039,22.71689415,13.54540253,19.239851,51.19936371,8.179274559,6.566227913,2.604813337,17.67230797,52.27121735,15.05556774,23.79179192,11.02323151,79.74447632,0.350307733,1.007356048,44.96562958,21.93585968,63.63905334,11.44973469,8.419219971,34.92953873,17.92575264,7.734095097,147.536377,25.53535461,32.37498093,8.869311333,36.72729111,25.12383461
FGD1,4.620117188,5.931004047,24.03870583,6.187454701,11.61340141,4.315269947,7.145597458,5.105008125,6.266154766,2.866351128,15.74001884,9.064804077,10.78125286,11.58843422,12.8040266,16.63054848,13.7237978,20.08107376,13.30894566,21.90137291,11.10438347,8.521966934,4.57064724,16.42916489,12.32950115,4.117692471,14.56698799,26.33048821,13.08855248,19.65470123,8.795676231,10.35021305,14.9394207,10.45702171,7.709606648,8.164609909,2.558980227,12.63866234,16.60368538,13.5331192,23.6385231,14.92710495
FGL2,3.65754652,15.66939831,4.045507908,27.2784977,12.88180923,16.58067131,6.887021065,4.955340385,7.890635967,5.706914425,0.746185124,8.503584862,15.80391979,4.787991047,7.642215729,6.736091137,13.59019852,11.06520271,3.010242939,48.66725159,6.015452862,13.76791096,13.91045189,5.866035938,2.130953312,20.8103714,1.851709604,1.841823578,10.50195408,2.352631569,34.92027283,6.389418602,2.609866858,8.457211494,116.2192688,8.270729065,40.51115417,16.04898834,13.82431221,6.771267414,14.9294157,5.136728287
FGR,34.02820969,1.927374721,1.356570363,7.956519604,3.601685762,1.588041186,0.443468601,0.17824243,0.869733989,3.459100485,0.488271266,0.813117564,10.15095425,0.531131983,0.231075019,6.812796593,2.33328414,3.460743189,1.596456289,0.40791598,1.034351826,6.751079559,3.033455372,1.126026392,0,1.363490582,0.057317663,0.276804477,3.498181343,1.327051759,3.923520327,0.865592837,0.703434944,4.56025219,0.891484916,1.97283721,8.211725235,0.80891633,2.671104908,1.246983886,2.252323866,1.306360483
FLI1,17.07284546,7.969396591,2.906612873,17.56834412,4.363086224,13.55382919,3.476538897,3.490325451,5.902841568,23.20993423,1.572152495,1.942464113,12.28289032,2.812455177,3.141859531,6.76056385,3.418442011,9.270258904,1.442750216,8.287557602,3.956239224,13.59992599,13.96493149,4.642224312,0,16.80663872,0.679046452,6.942459583,5.525819778,1.655566216,11.55625534,2.58543396,2.204310656,4.189609528,2.204826593,7.272191048,18.26298523,5.734823704,9.229780197,4.951033592,10.51977348,4.938494682
FLNC,7.827888966,4.912037373,0.457540155,6.078945637,1.516080499,5.159025192,0.622345328,0.389814019,1.987344861,132.6196136,0.974830866,0.125725135,10.82335663,6.665499687,0.844666243,2.004559994,0.4066917,4.877077103,2.478255749,0.888625026,1.26212883,1.906450987,7.584505081,8.693107605,0,4.553500652,1.592107296,3.52203536,5.196643353,1.696238995,1.068609715,0.58120513,1.047113299,1.47964859,3.306701183,36.9392395,16.37893105,1.979290366,0.195867777,1.080922604,3.382129669,5.806724072
FMNL1,48.6553154,9.630776405,4.893320084,42.4990921,13.01324749,14.14972305,2.740488529,2.050587654,5.885582924,9.04615593,0.579168737,4.863675594,25.18773651,2.823071241,3.665706873,12.68861294,10.79458618,19.85400963,2.808176518,1.772097945,3.093164921,19.78892517,19.15802574,7.401395321,8.572501183,22.66323853,0.740544379,1.110708714,16.50189018,4.395530701,33.92048645,2.711769819,5.456496239,9.289624214,4.865561009,16.07089806,63.45517349,2.889702559,11.26501846,8.257722855,10.42383003,8.857219696
FN1,3318.219971,421.1045227,256.5538025,928.4207153,379.5979004,651.3157349,55.53248596,14.37961388,433.3965149,1384.833862,582.1882935,1102.657471,940.7954712,1226.626587,38.84022141,1311.515747,180.4287262,138.1669464,1068.418091,304.6644287,1087.81189,935.8692017,395.3973694,1833.825684,396.0887451,2017.634644,28.05059052,471.0120239,2263.437256,345.9120483,125.040184,228.2090454,347.6030579,652.0760498,2165.429932,83.22078705,1816.249634,328.1701965,564.5811768,913.65448,369.9460144,1413.314087
FNBP1,9.588600159,11.61834717,6.227984428,15.50945759,10.83778763,18.17900658,7.020316124,8.69478035,8.528307915,7.976705074,5.345207691,14.94816685,12.343647,5.728242397,7.795071125,10.83134937,10.4934597,13.45120239,3.773522615,6.787549496,11.18567848,13.43274021,14.07874107,8.520335197,5.803972721,18.75813293,11.86030674,8.578093529,7.577942371,3.682495117,23.06967354,5.474533558,6.751357555,6.365638256,5.862569332,25.33053589,26.88592529,7.074277878,17.44642067,13.77732849,8.202375412,9.547656059
FPR3,17.53865051,4.630053043,2.606347323,9.682868958,5.293458939,11.75027847,3.686542273,2.210331678,5.985062599,3.331437826,0.118890181,1.514845371,10.49721813,2.366086006,3.491942644,14.51714516,3.201818705,2.913322687,2.601940155,1.82658267,2.586356878,10.01948166,8.272184372,7.521234989,3.607466221,10.62789631,0.280872494,0.41397199,8.152060509,6.183732033,6.695306301,2.650085688,1.374707222,8.766086578,2.561368942,3.438145399,15.14788246,2.055363417,11.40626526,2.426031828,6.816979408,6.233780861
FYB,33.38382339,6.277585983,8.283396721,49.30031586,13.7650404,29.57176781,8.045114517,4.109025478,12.8898201,8.672591209,5.305725098,12.52972031,20.5633812,8.270168304,8.510025024,18.53203201,25.59686279,20.66995239,2.976397276,1.997567773,6.86788559,55.42243195,26.50218391,28.76041412,10.00979137,46.82165527,0.296894819,1.144140005,13.14802837,8.773500443,47.37916946,9.599761009,11.18964195,11.89291191,5.310749531,15.16131687,110.2264938,17.639534,35.9569664,10.42153549,15.51464272,32.88368988
GGH,0.876963258,8.944263458,9.318523407,1.347172737,16.83350372,2.338368893,6.417226791,5.092360973,8.704548836,16.47318459,15.15064335,5.82730484,4.171422958,20.71456909,3.034111023,3.958013296,7.510273457,8.231001854,4.478540897,5.427616119,0.261158705,7.803536892,0.994390547,0.82658416,11.4279089,2.926745892,22.99513817,11.93197155,4.69162178,9.801424027,4.219896793,10.10246944,5.845879078,7.083848953,5.539958954,5.618350029,4.450108528,5.128792286,8.763373375,13.89343071,24.78702545,14.1313076
GIMAP4,10.28651142,4.383116245,4.857525826,22.83352661,6.59667778,14.10443306,4.220204353,2.920404196,6.614970207,34.31273651,0.45242095,5.811347008,14.33976364,3.42485261,4.573040962,4.585755825,10.15508175,10.56296253,1.497020602,4.417304039,4.826177597,14.66690731,16.42767906,4.614991665,4.144223213,29.24313354,0.518566549,0.131539837,7.924812794,2.944415331,24.67916107,1.883248925,2.789223671,5.727419853,1.529000282,8.17098999,33.50445557,6.388270855,11.22288036,5.360002995,10.41126537,7.646188259
GLRX3,9.922745705,23.4617157,33.97425842,12.07253838,14.26406479,26.43432236,39.26039886,25.29495811,48.62568283,24.03481102,12.17539024,28.35969543,20.79556847,17.53909111,11.12330341,26.97991943,17.55288506,22.61345482,23.95112228,15.73673821,34.68069077,21.01819038,18.92639923,17.60452461,23.94723129,22.51073837,20.00452614,14.43211555,22.54446602,26.5227375,16.36041832,15.70030403,22.14821243,27.90392685,9.993670464,22.9012413,20.33880615,14.33349133,13.0406065,24.69369698,32.57992935,28.8028965
GNG11,2.536712885,3.489622593,4.778092384,2.225430965,1.619940996,12.04640484,4.829659939,0.945153773,2.613206387,91.16410828,1.532707572,1.797843337,9.210221291,0.953152537,3.277873993,1.619657993,0.787530065,20.44460297,30.6108799,22.53478813,13.86834621,4.952087879,9.801171303,3.651339054,18.83815956,9.624382019,0.471443713,1.724807262,0.831047654,0.671700835,1.306284428,1.838160634,0.589297056,4.019446373,0.447907597,7.926600456,3.338099718,10.10725498,1.113495112,4.637656212,7.541700363,4.309283257
GNPTAB,13.39023781,30.08342743,39.27007294,29.79419327,42.11772919,33.09937668,63.00401306,54.24999619,65.14811707,9.078190804,50.77436829,90.63217926,25.29268456,75.70399475,49.29149628,29.93593025,49.11795425,55.79357147,85.70672607,19.5130024,37.02679443,57.36423111,25.0580883,118.7660828,72.61248016,30.83958435,34.12370682,23.0849781,17.05705071,67.75106049,41.58653641,57.34907913,55.65065002,21.8950367,27.72237587,65.15026093,24.35030746,22.66345215,48.26552582,27.26607513,17.74542809,66.33907318
GPLD1,0.090066493,2.396265984,0.676568925,0.539362729,2.480563879,1.061267376,0.502461672,0.107065596,0.08091215,0.297072142,0.07911925,0.119478755,0.912274897,0.951750398,1.487330675,0.190620676,0.258023411,1.817070842,0.441580296,0.311625361,0.588435292,0.662122667,0.892878115,0.099144436,0,0.443485618,0.035602957,1.896523118,2.086446047,0.191632211,0.546212494,1.225547433,0.529991686,0.227048069,1.042759419,0.574075699,0.308514416,1.208738923,2.000695944,0.904621303,0.337022334,0.108833246
GPNMB,141.0749512,95.53604889,117.718399,61.71451187,318.9910889,73.14633179,139.5399628,385.9735413,604.355835,13.69124508,156.4664307,114.1123199,135.4737701,42.18547058,190.0249939,519.5467529,217.1919861,66.44622803,232.6047058,216.1555786,108.4280472,198.4471588,49.21805954,136.7714386,97.63883209,57.1848259,359.5349731,176.5049286,30.6136055,231.1491852,189.7859039,119.0561752,83.17803192,228.2132416,286.3389587,233.3220367,43.5581131,147.1874237,109.1670151,321.7820435,76.39550018,39.98800659
GSTCD,1.108741164,2.185242176,2.789179325,2.017617941,2.609549761,2.474554062,1.601009846,4.004936218,3.95223403,1.870042563,3.050275564,3.211554766,2.540785313,4.513139248,2.409832478,2.972101212,2.315090656,2.313042402,3.070397139,2.566906452,1.970036268,2.954965353,1.888163209,2.758266211,1.723940015,1.910796762,2.655710936,6.322122574,3.082426786,1.6437397,2.862595797,3.582999945,2.742180347,3.899220467,1.207068682,2.526968002,2.135052681,2.531434298,1.116191268,1.548566937,1.411989093,3.289319277
H2AFZ,13.19757462,22.13865662,217.743454,21.95155716,65.84114838,32.41053391,57.48918152,69.29279327,113.3137207,32.03601456,103.83078,100.7417068,68.39068604,82.43585205,44.21068573,78.39580536,115.6037598,99.789505,95.82827759,111.1627655,81.25712585,97.75408936,18.70594788,68.85112762,108.9784622,20.82780647,72.46996307,69.40714264,37.54226685,110.3573532,46.65102386,107.6948166,87.02262115,132.5512238,29.16979408,29.00274658,27.82638359,63.27318954,32.94363785,36.72213745,59.51137924,80.26017761
HAS2,0.568135083,2.444413185,0.46910134,3.553561211,2.246413708,4.363915443,7.427931309,0.017907396,18.07555771,0.236137122,1.490939856,4.251051426,1.163345575,2.708841562,1.123097658,7.223780155,11.00479126,1.104415536,0.642940939,10.5509119,4.498916149,7.385253429,1.467041016,5.046271801,3.212261677,2.967030525,0.285831302,2.065321207,8.105386734,1.578074575,0.962741733,0.958234191,3.739307404,3.376119852,1.77334404,0.3200593,2.287795544,1.202343583,0.046737704,1.666482925,16.63544083,12.73677826
HAUS1,3.883571148,8.151555061,16.7768898,9.056578636,9.242181778,15.5483532,26.97661972,13.26093483,23.55325508,15.88144302,5.859632015,18.30448723,13.24793625,22.16210938,11.62425613,12.83561611,14.37233162,17.75697708,10.86083412,16.37236214,19.78021812,18.62993622,11.14352798,15.36514473,4.472902775,12.97958088,17.71121407,8.430971146,18.57249069,13.30244637,12.4481163,22.59563828,14.29746056,19.44563103,7.525212288,16.37306213,12.44113827,17.62367058,14.0979023,19.72415161,38.01518631,15.60615635
HCK,28.52783203,4.683024406,6.444420815,18.77737808,7.444955349,10.82111645,2.047044992,2.718703747,5.905533314,6.61638546,0.3110331,3.923856258,18.38632584,3.432893992,4.198982716,20.09979439,7.779635906,8.901077271,2.547661543,0.840609074,3.633817911,21.77387428,11.17682457,8.117566109,3.973738432,12.15811539,0.348063707,0.27166152,12.19958401,4.450089932,12.45332718,2.924692392,2.358063459,8.38773346,3.785797358,5.527796745,35.46129227,6.63372612,7.884797096,4.504820347,10.82947731,6.509065628
HCLS1,71.50051117,10.38162613,9.19716835,36.40982056,13.62596607,12.39348412,2.447579861,2.745004416,4.769737244,15.04219723,11.96595669,6.591868877,28.46967888,6.364885807,5.524196625,14.35021496,14.01932621,22.80161095,2.964961052,2.009546995,5.221055508,34.18175507,28.58171463,8.799719811,9.280029297,37.06014252,0.754069626,5.906166077,20.91692925,4.090538025,37.00917435,4.251595974,5.80597496,11.50637531,4.632754803,12.47778797,77.74175262,9.821022987,19.65325928,8.135390282,17.68593407,11.16710949
HDC,24.52379227,8.87916851,0.258899152,3.791936874,0.456963033,3.575278521,0.078557089,0.004996372,0.55008167,1.386055589,0.054152481,0.033453897,2.553652048,0,0.041645065,0.355934829,0,0.507507622,0.121855177,0.022425272,0.050577831,0.902827621,10.71262074,0.229022577,0,15.1264019,0.735612989,0.032094859,0.112429321,0.017359544,1.547740459,0,0.155760199,0.206783667,0.032332391,0.003778088,0.840902567,0.316610158,0.029884163,0.067090295,0.187085703,0
HERC5,1.754453063,3.124278545,6.704851151,24.45081139,9.030171394,7.066121101,7.964890957,0.652717471,2.620372534,2.357091188,7.025260449,18.71970749,5.413613319,13.78853035,27.05805206,8.745807648,11.79625893,7.562653065,24.23218346,15.79705238,7.06319046,3.797843933,4.480992794,7.382819653,7.751503944,3.506435394,0.192331091,11.08767319,1.825210333,56.00258255,15.16234398,4.039484024,4.200782776,6.919916153,8.306901932,4.664169788,11.04338741,4.005401135,7.768992424,5.917511463,4.58150959,22.40332222
HERC6,2.223205805,4.108456612,1.802813768,15.43485355,11.18732452,5.795053959,4.070752144,0.340443254,2.689972162,1.993800759,2.223132849,8.867196083,3.585795879,4.250737667,60.24039841,2.552786827,7.480177879,4.990394115,6.551319599,8.559943199,2.113716841,4.921357155,8.055645943,7.184877396,2.799011469,5.972109318,0.105850391,5.139174461,1.266034842,11.5031805,34.86436081,3.701913834,2.606603146,2.428577423,4.707221508,5.460126877,8.417004585,5.586718559,3.372030497,6.445682049,4.605608463,15.08798122
HLA-DMA,48.28224945,29.50850868,16.27530479,67.35697937,96.5042572,35.94871902,16.15553474,15.77551079,31.9690361,17.39662933,1.762896419,16.49876022,64.54718018,16.84040642,18.30170441,71.00891113,224.4383392,36.32896423,8.51334095,8.136161804,22.79902649,60.32128525,62.91236877,28.42296028,19.67495728,89.68151093,3.446698189,3.122467995,36.08246613,17.43452072,63.72884369,16.53781319,9.157505035,34.99076843,16.39732933,29.45046806,124.2573318,18.98812675,78.91110229,18.47089195,35.63486862,18.43812752
